#Time RTT(s)
5.9335 0.0150994
5.93509 0.014212
5.94033 0.0140605
5.94636 0.0146779
5.95238 0.0135932
5.95841 0.012644
5.96443 0.0118135
5.97046 0.0110868
6.00139 0.014326
6.0074 0.0179102
6.00742 0.0210465
6.01345 0.0245407
6.03153 0.0298481
6.03756 0.0268671
6.04358 0.0250087
6.04961 0.0241326
6.05564 0.021866
6.06166 0.0198828
6.06324 0.0183974
6.06851 0.0177227
6.07451 0.0178824
6.08052 0.0187721
6.08054 0.0195506
6.08657 0.0209818
6.09259 0.019109
6.11147 0.0198454
6.1175 0.0181147
6.12352 0.0166004
6.12955 0.0152753
6.13558 0.0148659
6.14158 0.0152577
6.14761 0.0141005
6.15363 0.0130879
6.15966 0.0122019
6.16491 0.0120517
6.16573 0.0120452
6.17176 0.0112896
6.17778 0.0106284
6.18381 0.0100498
6.18983 0.0095436
6.19586 0.00910065
6.20189 0.00871307
6.20791 0.00837393
6.21394 0.00807719
6.24488 0.0116925
6.2509 0.015606
6.25693 0.0144052
6.26295 0.0133546
6.26898 0.0124352
6.27501 0.0117558
6.28103 0.0110364
6.28706 0.0104068
6.31197 0.012856
6.31799 0.015749
6.32402 0.0191553
6.33004 0.0228859
6.3308 0.0261502
6.33683 0.0236314
6.34285 0.0214275
6.34888 0.019499
6.35491 0.0178117
6.36093 0.0163352
6.36696 0.0150433
6.37298 0.0139129
6.37901 0.0130488
6.38504 0.0121677
6.39106 0.0113967
6.41597 0.0137221
6.41679 0.0158819
6.43405 0.0200216
6.44007 0.0243939
6.4461 0.0220947
6.45213 0.0200828
6.45815 0.0190725
6.46418 0.0189384
6.46498 0.0188211
6.47101 0.0173435
6.47704 0.0159256
6.48306 0.0146849
6.48909 0.0135992
6.51922 0.0163993
6.52525 0.0150994
6.53127 0.014712
6.5373 0.013623
6.54332 0.0126701
6.54935 0.0118364
6.55537 0.0111068
6.5614 0.0104685
6.58631 0.0130349
6.59234 0.0160305
6.59836 0.0194017
6.60439 0.0231015
6.60519 0.0264638
6.61041 0.0300308
6.61644 0.027027
6.62247 0.0243986
6.63452 0.0220988
6.64055 0.0200864
6.64657 0.0183256
6.6526 0.0167849
6.65862 0.0154368
6.66465 0.0142572
6.67068 0.0132251
6.6767 0.0123219
6.71969 0.0169067
6.72571 0.0216683
6.73174 0.0197098
6.73777 0.0179961
6.74379 0.0172466
6.74982 0.0158407
6.75585 0.0146107
6.76187 0.0135343
6.7679 0.0133425
6.77392 0.0124247
6.77995 0.0116216
6.78597 0.0109189
6.7868 0.0104291
6.79283 0.00987542
6.79885 0.00939099
6.80488 0.00896712
6.82294 0.0108462
6.82374 0.0126155
6.82896 0.0147885
6.83056 0.01694
6.83659 0.0155725
6.84787 0.0157509
6.85389 0.016657
6.85992 0.0153249
6.87195 0.0156593
6.87275 0.0160769
6.87798 0.0170673
6.884 0.0188089
6.88402 0.0203328
6.90893 0.0246662
6.92096 0.0299579
6.92099 0.0345882
6.92702 0.0311396
6.93304 0.0279972
6.93907 0.0252475
6.94509 0.0235916
6.95109 0.0228926
6.9519 0.0222811
6.95792 0.0224959
6.96395 0.0204339
6.96997 0.0186297
6.976 0.017051
6.98202 0.0157946
7.00015 0.0169453
7.00618 0.0155771
7.0122 0.01438
7.01899 0.0140825
7.0242 0.0145722
7.02501 0.0151256
7.03104 0.0139849
7.03707 0.0129868
7.04309 0.0121135
7.04912 0.0113493
7.05514 0.0106806
7.06117 0.0100955
7.0921 0.0134586
7.09212 0.0164013
7.09813 0.0197261
7.09816 0.0226354
7.10416 0.0259309
7.10419 0.0288146
7.11021 0.0259627
7.11624 0.0234674
7.12226 0.021284
7.12829 0.0193735
7.15922 0.0215768
7.16522 0.0242547
7.16524 0.0265979
7.17128 0.0293981
7.1773 0.0264734
7.18333 0.0239142
7.18936 0.0216749
7.19539 0.0197155
7.20141 0.0180011
7.23837 0.021126
7.2444 0.0246102
7.25042 0.0284089
7.25044 0.0317328
7.25647 0.0285162
7.26249 0.0264517
7.26851 0.0253952
7.27453 0.0252208
7.28055 0.0258182
7.28658 0.0233409
7.2874 0.0212983
7.30548 0.021761
7.31671 0.0197909
7.31753 0.018192
7.32356 0.016668
7.32959 0.0153345
7.34765 0.0164177
7.35367 0.0181155
7.3545 0.0197261
7.36052 0.0180103
7.36655 0.016509
7.37257 0.0151954
7.3786 0.014796
7.38463 0.0136965
7.39585 0.0141094
7.39668 0.0145957
7.4027 0.0135213
7.40873 0.0125811
7.44569 0.0163835
7.45089 0.0203355
7.45172 0.0239186
7.45772 0.0278038
7.45775 0.0312033
7.46377 0.0280529
7.4698 0.0260463
7.475 0.0249155
7.47662 0.0241761
7.48185 0.024154
7.48267 0.0242598
7.48868 0.0251023
7.4947 0.0265895
7.50073 0.0240158
7.51881 0.0240139
7.51883 0.0240121
7.52486 0.0217606
7.53088 0.0197905
7.54209 0.0195667
7.54372 0.0194959
7.54974 0.0201839
7.55577 0.0184109
7.56179 0.0168595
7.56699 0.0161271
7.56782 0.0156112
7.57382 0.0159098
7.57985 0.0146711
7.58587 0.0135872
7.5919 0.0126388
7.59792 0.0118089
7.60395 0.0110828
7.60998 0.0104475
7.616 0.0100165
7.62203 0.00951447
7.62805 0.00907516
7.63408 0.00869076
7.64011 0.00835442
7.64613 0.00806012
7.67189 0.0109276
7.67792 0.0103117
7.68992 0.0112727
7.69595 0.0106136
7.70198 0.0100369
7.70721 0.0102823
7.71322 0.011247
7.71486 0.0122161
7.72006 0.0138141
7.72608 0.0159623
7.73211 0.0147171
7.73813 0.0136274
7.74416 0.012674
7.76304 0.0142147
7.76907 0.0131879
7.78112 0.0137894
7.78195 0.0143157
7.78715 0.0155263
7.79317 0.0143355
7.7992 0.0132935
7.80523 0.0123819
7.81125 0.0115841
7.81728 0.0108861
7.8233 0.0102753
7.82933 0.00974092
7.83536 0.00927331
7.84138 0.00886415
7.84741 0.00850613
7.85343 0.00819286
7.85946 0.00791875
7.86549 0.00767891
7.87151 0.00746904
7.87754 0.00728541
7.88517 0.00712474
